ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
hs1247	chr4:12747039-12748624	HS3ST1-RAB28	chr4:12745415-12747000	chr5:41452017-41453567	Hs3st1-Rab28	chr5:41060778-41062328
mm554	chr4:127966394-127967158	MIR2054-INTU	chr4:127045239-127046003	chr3:40018497-40019542	Fat4-1700017G19Rik	chr3:40119575-40120620
hs2417	chr4:128406285-128407745	MIR2054-INTU	chr4:127485130-127486590	chr3:40350995-40353265	Fat4-1700017G19Rik	chr3:40452073-40454343
hs1248	chr4:12899030-12900803	HS3ST1-RAB28	chr4:12897406-12899179	chr5:41556555-41558212	Hs3st1-Rab28	chr5:41165316-41166973
hs2412	chr4:129278773-129280245	PGRMC2-JADE1	chr4:128357618-128359090	chr3:40961680-40963522	Pgrmc2-C430002E04Rik	chr3:41157758-41159600
hs1249	chr4:12950899-12952450	HS3ST1-RAB28	chr4:12949275-12950826	chr5:41590346-41591947	Hs3st1-Rab28	chr5:41199107-41200708
hs259	chr4:13009318-13010327	HS3ST1-RAB28	chr4:13007694-13008703	chr5:41652660-41653642	Hs3st1-Rab28	chr5:41261421-41262403
hs1250	chr4:13126482-13127376	HS3ST1-RAB28	chr4:13124858-13125752	chr5:41771750-41772580	Hs3st1-Rab28	chr5:41380511-41381341
hs916	chr4:13517497-13519167	RAB28-LINC01097	chr4:13515873-13517543	chr5:42128859-42130537	Rab28-Nkx3-2	chr5:41737620-41739298
mm1260	chr4:137720708-137722117	LINC00613-PCDH18	chr4:136799553-136800962	chr3:48607726-48609108	1700018B24Rik-Pcdh18	chr3:48803804-48805186
hs2539	chr4:140479717-140483152	SETD7-MGST2	chr4:139558563-139561998	chr3:51367742-51371729	5031434O11Rik-Mgst2	chr3:51563820-51567807
hs1953	chr4:140682864-140686286	MAML3(intragenic)	chr4:139761710-139765132	chr3:51529462-51533539	Maml3(intragenic)	chr3:51725540-51729617
mm1010	chr4:140695810-140696849	MAML3(intragenic)	chr4:139774656-139775695	chr3:51542774-51543778	Maml3(intragenic)	chr3:51738852-51739856
mm472	chr4:140729276-140730395	MAML3(intragenic)	chr4:139808122-139809241	chr3:51581966-51583093	Maml3(intragenic)	chr3:51778044-51779171
mm1452	chr4:140736509-140739581	MAML3(intragenic)	chr4:139815355-139818427	chr3:51591774-51595791	Maml3(intragenic)	chr3:51787852-51791869
mm1388	chr4:140863536-140867383	MAML3(intragenic)	chr4:139942382-139946229	chr3:51711493-51714567	Maml3(intragenic)	chr3:51907571-51910645
hs842	chr4:14268833-14269924	LINC01085-CPEB2-AS1	chr4:14267209-14268300	chr5:42914188-42915270	Bod1l-Gm7854	chr5:42522949-42524031
mm25	chr4:145041093-145041575	GYPA(intragenic)	chr4:144119940-144120422	chr8:83024964-83025814	Gypa(intragenic)	chr8:80501065-80501915
hs906	chr4:145276813-145278719	GYPA-HHIP-AS1	chr4:144355661-144357567	chr8:82837945-82839839	Hhip-Gypa	chr8:80314046-80315940
hs905	chr4:145568248-145569955	HHIP(intragenic)	chr4:144647096-144648803	chr8:82579334-82581034	Hhip(intragenic)	chr8:80055435-80057135
hs904	chr4:145860001-145861281	HHIP-ANAPC10	chr4:144938849-144940129	chr8:82361527-82362575	Anapc10-Hhip	chr8:79837628-79838676
mm1335	chr4:147161931-147165181	LSM6-SLC10A7	chr4:146240779-146244029	chr8:81264413-81267441	Slc10a7-Lsm6	chr8:78740514-78743542
mm236	chr4:148083963-148084831	TTC29-EDNRA	chr4:147162811-147163679	chr8:80525507-80526411	Ednra-Ttc29	chr8:78001608-78002512
mm172	chr4:148094471-148096457	TTC29-EDNRA	chr4:147173319-147175305	chr8:80511214-80513034	Ednra-Ttc29	chr8:77987315-77989135
mm759	chr4:148402721-148403711	EDNRA(intragenic)	chr4:147481569-147482559	chr8:80246883-80247838	Ednra(intragenic)	chr8:77722984-77723939
mm760	chr4:148416319-148417086	EDNRA(intragenic)	chr4:147495167-147495934	chr8:80231093-80232132	Ednra(intragenic)	chr8:77707194-77708233
mm761	chr4:148456322-148456952	EDNRA(intragenic)	chr4:147535170-147535800	chr8:80195632-80196541	Ednra(intragenic)	chr8:77671733-77672642
hs2100	chr4:148973160-148977273	MIR4799-NR3C2	chr4:148052009-148056122	chr8:79790798-79794138	Arhgap10(intragenic)	chr8:77266899-77270239
hs1614	chr4:151096473-151099299	DCLK2(intragenic)	chr4:150175321-150178147	chr3:86653085-86655897	Dclk2(intragenic)	chr3:86849163-86851975
hs948	chr4:151288357-151289369	LRBA(intragenic)	chr4:150367205-150368217	chr3:86503745-86504827	Mab21l2-Dclk2	chr3:86699823-86700905
hs657	chr4:151493651-151494654	LRBA(intragenic)	chr4:150572499-150573502	chr3:86360530-86361536	Mab21l2-Dclk2	chr3:86556608-86557614
hs1872	chr4:151520107-151520421	MAB21L2-RPS3A	chr4:150598955-150599269	chr3:86335869-86336182	Lrba(intragenic)	chr3:86531947-86532260
hs1361	chr4:153287655-153290517	DEAR-FBXW7	chr4:152366503-152369365	chr3:84741019-84743495	Fbxw7(intragenic)	chr3:84937097-84939573
hs1706	chr4:155533850-155535022	FGG-LRAT	chr4:154612698-154613870	chr3:82810636-82811738	4930564K09Rik-Fgg	chr3:83006714-83007816
hs1707	chr4:155580703-155582056	FGG-LRAT	chr4:154659551-154660904	chr3:82774796-82775591	4930564K09Rik-Fgg	chr3:82970874-82971669
mm1572	chr4:157089520-157091085	CTSO-PDGFC	chr4:156168368-156169933	chr3:81586506-81587942	Pdgfc-Ctso	chr3:81782584-81784020
mm1052	chr4:158941327-158946653	LOC340017-FAM198B	chr4:158020175-158025501	chr3:79793247-79796620	Fam198b-Gria2	chr3:79989325-79992698
mm1650	chr4:159508004-159509221	RXFP1(intragenic)	chr4:158586852-158588069	chr3:79493450-79495049	Rxfp1(intragenic)	chr3:79689528-79691127
mm1718	chr4:159726196-159728117	FNIP2(intragenic)	chr4:158805044-158806965	chr3:79334976-79336695	Fnip2(intragenic)	chr3:79531054-79532773
hs526	chr4:1613479-1614106	NKX1-1-FAM53A	chr4:1611752-1612379	chr5:33917942-33918524	4933407H18Rik-Fam53a	chr5:33575293-33575875
mm1370	chr4:162588653-162596653	FSTL5(intragenic)	chr4:161667501-161675501	chr3:76269644-76273343	Fstl5(intragenic)	chr3:76465722-76469421
mm1833	chr4:174357147-174358339	SCRG1-HAND2	chr4:173435996-173437188	chr8:59883499-59884663	Hand2-Scrg1	chr8:57404702-57405866
hs2501	chr4:174367472-174372568	SCRG1-HAND2	chr4:173446321-173451417	chr8:59878622-59881508	Hand2-Scrg1	chr8:57399825-57402711
mm847	chr4:174406531-174408927	SCRG1-HAND2	chr4:173485380-173487776	chr8:59838061-59841881	Hand2-Scrg1	chr8:57359264-57363084
mm844	chr4:174419501-174423776	SCRG1-HAND2	chr4:173498350-173502625	chr8:59825977-59829933	Hand2-Scrg1	chr8:57347180-57351136
hs494	chr4:174436313-174436870	SCRG1-HAND2	chr4:173515162-173515719	chr8:59814021-59814589	Hand2-Scrg1	chr8:57335224-57335792
mm1283	chr4:174437384-174439127	SCRG1-HAND2	chr4:173516233-173517976	chr8:59811925-59813688	Hand2-Scrg1	chr8:57333128-57334891
hs2642	chr4:174576731-174579214	HAND2-AS1-FBXO8	chr4:173655580-173658063	chr8:59688130-59690264	Fbxo8-Hand2	chr8:57209333-57211467
hs2116	chr4:174601312-174605985	HAND2-AS1-FBXO8	chr4:173680161-173684834	chr8:59669849-59674612	Fbxo8-Hand2	chr8:57191052-57195815
mm1690	chr4:174759022-174762076	HAND2-AS1-FBXO8	chr4:173837871-173840925	chr8:59488430-59490564	Fbxo8-Hand2	chr8:57009633-57011767
mm1689	chr4:174799792-174801830	HAND2-AS1-FBXO8	chr4:173878641-173880679	chr8:59461837-59463756	Fbxo8-Hand2	chr8:56983040-56984959
mm1688	chr4:174865134-174867281	HAND2-AS1-FBXO8	chr4:173943983-173946130	chr8:59393348-59395551	Fbxo8-Hand2	chr8:56914551-56916754
mm1687	chr4:174957436-174959949	HAND2-AS1-FBXO8	chr4:174036285-174038798	chr8:59310108-59312623	Fbxo8-Hand2	chr8:56831311-56833826
hs886	chr4:181201559-181202529	LINC01099-LINC00290	chr4:180280406-180281376	chr8:51793522-51794489	Gm2516-Aga	chr8:50708168-50709135
hs1935	chr4:185305050-185308214	LOC728175-IRF2	chr4:184383896-184387060	chr8:47933409-47936747	Irf2-Enpp6	chr8:46848055-46851393
mm9	chr4:185368338-185369629	IRF2(intragenic)	chr4:184447184-184448475	chr8:47855925-47857600	Irf2(intragenic)	chr8:46770571-46772246
mm2009	chr4:186058155-186059808	HELT-SLC25A4	chr4:185137001-185138654	chr8:47305342-47306646	Slc25a4-Helt	chr8:46219988-46221292
hs2502	chr4:186485782-186492632	PDLIM3-SORBS2	chr4:185564628-185571478	chr8:46925099-46936463	D330022K07Rik-Pdlim3	chr8:45839745-45851109
hs2346	chr4:23932061-23933692	PPARGC1A-MIR573	chr4:23930438-23932069	chr5:51982418-51983999	Ppargc1a-Dhx15	chr5:51591179-51592760
mm1015	chr4:2462908-2464945	LOC402160-RNF4	chr4:2461181-2463218	chr5:34668796-34670205	Zfyve28-Rnf4	chr5:34326147-34327556
hs601	chr4:28892552-28893688	MIR4275-PCDH7	chr4:28890930-28892066	chr5:56367340-56368412	Gm10440-4932441J04Rik	chr5:55976101-55977173
mm1725	chr4:38753762-38756715	KLF3-TLR10	chr4:38752141-38755094	chr5:65268023-65270020	Klf3-Tlr1	chr5:64876784-64878781
mm1569	chr4:39503685-39505253	UGDH(intragenic)	chr4:39502065-39503633	chr5:65806214-65807811	Ugdh(intragenic)	chr5:65414975-65416572
hs847	chr4:42150091-42151064	BEND4(intragenic)	chr4:42148074-42149047	chr5:67814944-67815908	Bend4(intragenic)	chr5:67423705-67424669
hs2303	chr4:4458793-4459656	STX18(intragenic)	chr4:4457066-4457929	chr5:38497381-38498235	Stx18(intragenic)	chr5:38106142-38106996
mm1165	chr4:4489812-4491401	STX18(intragenic)	chr4:4488085-4489674	chr5:38476616-38477909	Stx18(intragenic)	chr5:38085377-38086670
mm928	chr4:4516728-4518477	STX18(intragenic)	chr4:4515001-4516750	chr5:38456294-38457933	Stx18(intragenic)	chr5:38065055-38066694
hs746	chr4:4522867-4524050	STX18(intragenic)	chr4:4521140-4522323	chr5:38451486-38452660	Stx18(intragenic)	chr5:38060247-38061421
mm429	chr4:4667671-4669193	STX18-AS1(intragenic)	chr4:4665944-4667466	chr5:38358862-38360435	Msx1as-Stx18	chr5:37967623-37969196
mm428	chr4:4736431-4737277	STX18-AS1-MSX1	chr4:4734704-4735550	chr5:38308981-38309833	Msx1as-Stx18	chr5:37917742-37918594
mm427	chr4:4756237-4758006	STX18-AS1-MSX1	chr4:4754510-4756279	chr5:38292345-38293732	Msx1as-Stx18	chr5:37901106-37902493
hs2414	chr4:47826466-47828052	MIR8053-NFXL1	chr4:47824449-47826035	chr5:72885211-72886645	Corin(intragenic)	chr5:72493972-72495406
hs171	chr4:4819733-4820560	STX18-AS1-MSX1	chr4:4818006-4818833	chr5:38242630-38243457	Msx1as-Stx18	chr5:37851391-37852218
mm426	chr4:4856277-4860225	STX18-AS1-MSX1	chr4:4854550-4858498	chr5:38216908-38220459	Msx1as-Stx18	chr5:37825669-37829220
mm425	chr4:4866552-4867665	MSX1-CYTL1	chr4:4864825-4865938	chr5:38209891-38210884	Cytl1-Msx1	chr5:37818652-37819645
hs1509	chr4:53823605-53826463	SCFD2(intragenic)	chr4:52957438-52960296	chr5:74661682-74664230	Scfd2(intragenic)	chr5:74265657-74268205
mm139	chr4:53942245-53944335	SCFD2(intragenic)	chr4:53076078-53078168	chr5:74757294-74759586	Scfd2(intragenic)	chr5:74361269-74363561
hs1668	chr4:53942283-53944297	SCFD2(intragenic)	chr4:53076116-53078130	chr5:74757319-74759548	Scfd2(intragenic)	chr5:74361294-74363523
hs1460	chr4:54061474-54065280	SCFD2(intragenic)	chr4:53195307-53199113	chr5:74828004-74831822	Scfd2(intragenic)	chr5:74431979-74435797
hs687	chr4:54881222-54882455	CHIC2(intragenic)	chr4:54015055-54016288	chr5:75408486-75409693	Chic2(intragenic)	chr5:75012461-75013668
hs678	chr4:54961998-54962796	CHIC2-GSX2	chr4:54095831-54096629	chr5:75467413-75468226	Chic2-Gsx2	chr5:75071388-75072201
hs1651	chr4:56919589-56923793	CEP135-KIAA1211	chr4:56053423-56057627	chr5:77091368-77095822	Cep135-C530008M17Rik	chr5:76662343-76666797
mm770	chr4:57562201-57565332	HOPX-SPINK2	chr4:56696035-56699166	chr5:77558905-77560018	Hopx-Spink2	chr5:77129880-77130993
mm1340	chr4:58058944-58063954	IGFBP7-AS1(intragenic)	chr4:57192778-57197788	chr5:77915965-77918950	Igfbp7-Pea15b	chr5:77486940-77489925
mm34	chr4:58732104-58742142	IGFBP7-AS1-LPHN3	chr4:57865938-57875976	chr5:78712411-78714500	Pea15b-Lphn3	chr5:78283386-78285475
hs1979	chr4:6298741-6300938	WFS1(intragenic)	chr4:6297014-6299211	chr5:37360972-37361495	Wfs1(intragenic)	chr5:36969733-36970256
hs840	chr4:66989480-66990366	LOC100144602-LOC101927237	chr4:66123762-66124648	chr5:85240355-85241286	Epha5-Cenpc1	chr5:84811330-84812261
hs2566	chr4:6770024-6775277	BLOC1S4-KIAA0232	chr4:6768297-6773550	chr5:37095516-37107997	D5Ertd579e-Cno	chr5:36704277-36716758
mm1054	chr4:6771193-6773953	BLOC1S4-KIAA0232	chr4:6769466-6772226	chr5:37102210-37106605	D5Ertd579e-Cno	chr5:36710971-36715366
hs2570	chr4:72721723-72725061	GC-NPFFR2	chr4:71856006-71859344	chr5:89908749-89910025	Gc-Npffr2	chr5:89479724-89481000
mm187	chr4:77252648-77252829	CCDC158(intragenic)	chr4:76331495-76331676	chr5:93056779-93057403	Ccdc158(intragenic)	chr5:92627753-92628377
mm397	chr4:77732780-77733943	MIR4450-SOWAHB	chr4:76811627-76812790	chr5:93426293-93427320	Shroom3-Sowahb	chr5:92997267-92998294
mm39	chr4:77907168-77914225	SEPT11(intragenic)	chr4:76986015-76993072	chr5:93560103-93564752	Sept11(intragenic)	chr5:93131077-93135726
hs1241	chr4:80426144-80427098	LINC00989(intragenic)	chr4:79504990-79505944	chr5:97971980-97972784	Gk2-Antxr2	chr5:97542961-97543765
hs1240	chr4:80430584-80431224	LINC00989(intragenic)	chr4:79509430-79510070	chr5:97975841-97976458	Gk2-Antxr2	chr5:97546822-97547439
mm1398	chr4:82419377-82422425	RASGEF1B-HNRNPD	chr4:81498223-81501271	chr5:99701432-99704258	Rasgef1b-A930011G23Rik	chr5:99272413-99275239
mm678	chr4:82515023-82516784	RASGEF1B-HNRNPD	chr4:81593869-81595630	chr5:99796912-99799425	A930011G23Rik(intragenic)	chr5:99367893-99370406
hs712	chr4:84700011-84701265	AGPAT9-NKX6-1	chr4:83778858-83780112	chr5:101460973-101462242	Agpat9-Nkx6-1	chr5:101031954-101033223
hs680	chr4:85245591-85246555	AGPAT9-NKX6-1	chr4:84324438-84325402	chr5:101925975-101926925	Agpat9-Nkx6-1	chr5:101496956-101497906
mm1356	chr4:85767590-85774061	WDFY3(intragenic)	chr4:84846437-84852908	chr5:102395744-102399405	Wdfy3(intragenic)	chr5:101966725-101970386
mm680	chr4:86288256-86291313	WDFY3-AS2-ARHGAP24	chr4:85367103-85370160	chr5:102802274-102804782	Wdfy3-Arhgap24	chr5:102373255-102375763
hs1374	chr4:90917033-90921053	MMRN1-CCSER1	chr4:89995882-89999902	chr6:60991560-60994398	Mmrn1-A730020E08Rik	chr6:61041566-61044404
mm1018	chr4:95339623-95343119	HPGDS-PDLIM5	chr4:94418472-94421968	chr3:142090852-142094953	Pdlim5-Gbp5	chr3:142427888-142431989
hs1438	chr4:95589445-95591459	PDLIM5-BMPR1B	chr4:94668294-94670308	chr3:141900375-141902467	Bmpr1b-Pdlim5	chr3:142237411-142239503
hs1691	chr4:96878170-96879875	PDHA2-STPG2-AS1	chr4:95957019-95958724	chr3:140774662-140776414	B930007M17Rik-Pdha2	chr3:141111698-141113450
hs2086	chr4:99576760-99579288	TSPAN5(intragenic)	chr4:98655609-98658137	chr3:138405633-138408119	Tspan5(intragenic)	chr3:138742669-138745155
hs1649	chr5:101999073-102003903	LINC00491(intragenic)	chr5:102663369-102668199	chr1:100084419-100089828	1810006J02Rik-Slco6d1	chr1:98187842-98193251
mm1317	chr5:102724525-102728259	C5orf30-LOC102467212	chr5:103388824-103392558	chr1:99435074-99439318	Slco6c1-D1Ertd622e	chr1:97538497-97542741
hs1733	chr5:106813861-106814679	EFNA5(intragenic)	chr5:107478160-107478978	chr17:63050325-63051201	Efna5(intragenic)	chr17:62700976-62701852
hs1734	chr5:106909516-106911012	EFNA5(intragenic)	chr5:107573815-107575311	chr17:63135054-63136477	Efna5(intragenic)	chr17:62785705-62787128
mm1538	chr5:106978159-106981409	EFNA5(intragenic)	chr5:107642458-107645708	chr17:63201276-63204288	Efna5(intragenic)	chr17:62851927-62854939
mm502	chr5:107251745-107252718	FBXL17(intragenic)	chr5:107916044-107917017	chr17:63467040-63468119	Fbxl17(intragenic)	chr17:63117691-63118770
hs1345	chr5:107299863-107302976	FBXL17(intragenic)	chr5:107964162-107967275	chr17:63520771-63522886	Fbxl17(intragenic)	chr17:63171422-63173537
mm76	chr5:110897322-110909148	STARD4-AS1(intragenic)	chr5:111561624-111573451	chr18:33450904-33453872	Stard4-D0H4S114	chr18:33291250-33294218
mm15	chr5:111183540-111188781	NREP-NREP-AS1	chr5:111847843-111853084	chr18:33711719-33714035	Gm10549-2410004N09Rik	chr18:33552065-33554381
hs1399	chr5:111183563-111185323	NREP-NREP-AS1	chr5:111847866-111849626	chr18:33711755-33713260	Gm10549-2410004N09Rik	chr18:33552101-33553606
mm1329	chr5:111963203-111966426	EPB41L4A-AS2-LOC102467216	chr5:112627506-112630729	chr18:34290952-34294024	Epb4.1l4a-Gm10548	chr18:34131298-34134370
mm1400	chr5:11523586-11526774	CTNND2(intragenic)	chr5:11523474-11526662	chr15:30441205-30443717	Ctnnd2(intragenic)	chr15:30511450-30513962
mm1051	chr5:123497984-123500937	CSNK1G3-ZNF608	chr5:124162291-124165244	chr18:54641248-54644594	9430076G02Rik-9330117O12	chr18:54481594-54484940
mm1535	chr5:123675836-123678657	CSNK1G3-ZNF608	chr5:124340143-124342964	chr18:54770039-54772901	9430076G02Rik-Zfp608	chr18:54610385-54613247
mm1545	chr5:123849808-123851849	CSNK1G3-ZNF608	chr5:124514115-124516156	chr18:54919394-54921412	9330117O12-Zfp608	chr18:54759740-54761758
hs1338	chr5:124244194-124245446	ZNF608-LOC101927421	chr5:124908501-124909753	chr18:55295572-55296822	Zfp608-Gramd3	chr18:55135918-55137168
hs1375	chr5:124330649-124332930	ZNF608-LOC101927421	chr5:124994956-124997237	chr18:55355208-55357170	Zfp608-Gramd3	chr18:55195554-55197516
hs1643	chr5:124651163-124654187	LOC101927421(intragenic)	chr5:125315470-125318494	chr18:55643142-55646532	Zfp608-Gramd3	chr18:55483488-55486878
hs1373	chr5:124682735-124685593	LOC101927421(intragenic)	chr5:125347042-125349900	chr18:55665507-55668256	Zfp608-Gramd3	chr18:55505853-55508602
hs1371	chr5:124708335-124710392	LOC101927421-LOC101927460	chr5:125372642-125374699	chr18:55678571-55680683	Zfp608-Gramd3	chr18:55518917-55521029
mm1061	chr5:124820830-124825543	LOC101927421-LOC101927460	chr5:125485137-125489850	chr18:55783670-55787308	Zfp608-Gramd3	chr18:55624016-55627654
mm1581	chr5:125031024-125033207	LOC101927460-LOC102546228	chr5:125695331-125697514	chr18:55944508-55946871	Zfp608-Gramd3	chr18:55784854-55787217
mm1740	chr5:125304737-125307561	LOC101927460-LOC102546228	chr5:125969044-125971868	chr18:56174300-56176940	Zfp608-Gramd3	chr18:56014646-56017286
hs2325	chr5:125344507-125346243	LOC101927460-LOC102546228	chr5:126008814-126010550	chr18:56201901-56202947	Zfp608-Gramd3	chr18:56042247-56043293
hs2489	chr5:125995893-125996243	TEX43-LMNB1	chr5:126660201-126660551	chr18:56772236-56772284	1700065I17Rik-Lmnb1	chr18:56612582-56612630
mm109	chr5:126334699-126337066	MARCH3(intragenic)	chr5:126999007-127001374	chr18:57056572-57058645	March3(intragenic)	chr18:56896918-56898991
hs1449	chr5:131600830-131602104	PDLIM4(intragenic)	chr5:132265137-132266411	chr11:53873574-53874870	Pdlim4(intragenic)	chr11:54060072-54061368
mm51	chr5:131602840-131605920	PDLIM4(intragenic)	chr5:132267147-132270227	chr11:53870165-53872917	Pdlim4(intragenic)	chr11:54056663-54059415
mm1724	chr5:132841491-132842538	MIR1289-2-C5orf15	chr5:133505800-133506847	chr11:52690526-52692005	Fstl4(intragenic)	chr11:52877024-52878503
hs2054	chr5:133772017-133775320	LOC102546229-LOC101927934	chr5:134436326-134439629	chr11:51754039-51759611	Phf15-Cdkn2aipnl	chr11:51940537-51946109
mm1771	chr5:134279043-134282681	MIR4461-CATSPER3	chr5:134943353-134946991	chr13:55860649-55864992	Pcbd2(intragenic)	chr13:55759288-55763631
hs1594	chr5:134355508-134357399	CATSPER3-PITX1	chr5:135019818-135021709	chr13:55917776-55919715	Catsper3-Pitx1	chr13:55816415-55818354
hs1473	chr5:134769599-134772144	H2AFY-C5orf20	chr5:135433909-135436454	chr13:56260379-56262548	H2afy-Tifab	chr13:56159018-56161187
hs2181	chr5:137029967-137032927	MIR874-HNRNPA0	chr5:137694278-137697238	chr13:58167529-58170460	Mir874-Hnrnpa0	chr13:58066168-58069099
mm1664	chr5:139038004-139042567	CXXC5(intragenic)	chr5:139658419-139662982	chr18:35998889-36002582	Cxxc5(intragenic)	chr18:35839235-35842928
mm1614	chr5:139047390-139050423	CXXC5(intragenic)	chr5:139667805-139670838	chr18:36007337-36010053	Cxxc5(intragenic)	chr18:35847683-35850399
hs2610	chr5:140420201-140421604	PCDHAC2-LOC101926905	chr5:141040616-141042019	chr18:37377363-37378737	Pcdhac2-Pcdhb1	chr18:37217709-37219083
mm524	chr5:141190391-141191732	ARAP3-PCDH1	chr5:141810825-141812167	chr18:38303636-38304942	Arap3-Pcdh1	chr18:38143982-38145288
mm1457	chr5:141441642-141445300	GNPDA1-NDFIP1	chr5:142062077-142065735	chr18:38538595-38541292	Gnpda1-Ndfip1	chr18:38378941-38381638
hs1640	chr5:141930055-141932276	SPRY4-FGF1	chr5:142550490-142552711	chr18:38963446-38965417	Spry4-Fgf1	chr18:38803792-38805763
mm1350	chr5:142420717-142423146	ARHGAP26-AS1-NR3C1	chr5:143041152-143043581	chr18:39388954-39391193	Arhgap26(intragenic)	chr18:39229300-39231539
hs1513	chr5:14444355-14446026	TRIO(intragenic)	chr5:14444246-14445917	chr15:27713615-27714941	Trio(intragenic)	chr15:27783860-27785186
hs1752	chr5:148801693-148805076	MIR143HG(intragenic)	chr5:149422130-149425513	chr18:61810756-61813731	Mir143-Il17b	chr18:61651102-61654077
hs1890	chr5:148821355-148824866	MIR145-CSNK1A1	chr5:149441792-149445303	chr18:61797146-61798393	Csnk1a1-LOC545261	chr18:61637492-61638739
mm36	chr5:148861898-148866149	MIR145-CSNK1A1	chr5:149482335-149486586	chr18:61768056-61770754	Csnk1a1-LOC545261	chr18:61608402-61611100
mm1331	chr5:149167251-149172185	PPARGC1B(intragenic)	chr5:149787688-149792622	chr18:61508461-61511783	Ppargc1b(intragenic)	chr18:61348807-61352129
mm879	chr5:149686249-149688233	ARSI-TCOF1	chr5:150306686-150308670	chr18:61064203-61066875	Tcof1-Arsi	chr18:60904549-60907221
mm1623	chr5:149953760-149956610	NDST1-SYNPO	chr5:150574198-150577048	chr18:60828749-60831461	G630071F17-Ndst1	chr18:60669095-60671807
